Company Account,Merchant Account,Psp Reference,Merchant Reference,Payment Method,Creation Date,TimeZone,Currency,Amount,Type,Risk Scoring,Shopper Interaction,Shopper Name,Shopper PAN,Shopper IP,Shopper Country,Issuer Name,Issuer Id,Issuer City,Issuer Country,Acquirer Response,Authorisation Code,Shopper Email,Shopper Reference,3D Directory Response,3D Authentication Response,CVC2 Response,AVS Response,Billing Street,Billing House Number / Name,Billing City,Billing Postal Code / ZIP,Billing State / Province,Billing Country,Delivery Street,Delivery House Number / Name,Delivery City,Delivery Postal Code / ZIP,Delivery State / Province,Delivery Country,Acquirer Reference,Payment Method Variant,Reserved3,Reserved4,Reserved5,Reserved6,Reserved7,Reserved8,Reserved9,Reserved10
{yourCompanyAccount},{yourMerchantAccount},4.71E+15,326078880,mc,6/30/17 23:59,CEST,EUR,55.97,Payment,0,Ecommerce,John Doe,2010,83.53.51.61,ES,,544958,,ES,DECLINED,,johndoe@gmail.com,12518961,,,2,0,,,,,,,,,,,,,,mccredit,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.31E+15,326078963,mc,6/30/17 23:59,CEST,EUR,49.95,Payment,40,Ecommerce,John Doe,6176,92.109.130.254,NL,,541592,,GB,APPROVED,1294,johndoe@gmail.com,16331379,,,1,0,,,,,,,,,,,,,,mccredit,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.71E+15,326078919,paypal,6/30/17 23:59,CEST,EUR,49.95,Payment,0,Ecommerce,John Doe,,92.201.7.29,DE,,,,,APPROVED,,johndoe@gmail.com,24238610,,,0,0,,,,,,,,,,,,,,paypal,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.41E+15,326078827,paypal,6/30/17 23:58,CEST,EUR,49.95,Payment,40,Ecommerce,John Doe,,151.21.6.225,IT,,,,,APPROVED,,johndoe@gmail.com,32776577,,,0,0,,,,,,,,,,,,,,paypal,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.81E+15,326078818,visa,6/30/17 23:50,CEST,EUR,52.47,Payment,0,Ecommerce,John Doe,1007,91.117.17.232,ES,,490943,,ES,APPROVED,476113,johndoe@gmail.com,28316598,,,1,0,,,,,,,,,,,,,,visagold,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.31E+15,326078820,paypal,6/30/17 23:50,CEST,NOK,572.09,Payment,0,Ecommerce,John Doe,,79.161.246.9,NO,,,,,APPROVED,,johndoe@gmail.com,25787718,,,0,0,,,,,,,,,,,,,,paypal,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.31E+15,326078816,visa,6/30/17 23:49,CEST,DKK,524.95,Payment,0,Ecommerce,John Doe,958,188.181.224.119,DK,,457175,,DK,APPROVED,235006,johndoe@gmail.com,22866801,,,1,0,,,,,,,,,,,,,,visadankort,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.41E+15,326078817,mc,6/30/17 23:49,CEST,EUR,29.95,Payment,40,Ecommerce,John Doe,3038,94.162.46.47,IT,,550075,,IT,APPROVED,T04736,johndoe@gmail.com,27156014,,,1,0,,,,,,,,,,,,,,mccredit,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},4.71E+15,326078819,visa,6/30/17 23:49,CEST,EUR,39.95,Payment,40,Ecommerce,John Doe,9389,79.30.103.250,IT,,405785,,IT,APPROVED,85779,johndoe@gmail.com,35985150,,,1,0,,,,,,,,,,,,,,visaclassic,,,,,,,,
{yourCompanyAccount},{yourMerchantAccount},1.31E+15,326078794,visa,6/30/17 23:48,CEST,SEK,534.95,Payment,0,Ecommerce,John Doe,8213,78.73.245.93,SE,,458109,,SE,APPROVED,153438,johndoe@gmail.com,15940405,,,1,0,,,,,,,,,,,,,,visadebit,,,,,,,,
